Series_Title,Overview,Cleaned_Overview,Sentiment,Predicted_Sentiment
Gifted,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",frank single man raising child prodigy niece mary drawn custody battle mother,negative,0
The Peanut Butter Falcon,Zak runs away from his care home to make his dream of becoming a wrestler come true.,zak run away care home make dream becoming wrestler come true,positive,2
Victoria,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,young spanish woman recently moved berlin find flirtation local guy turn potentially deadly night friend reveals dangerous secret,negative,0
Mustang,"When five orphan girls are seen innocently playing with boys on a beach, their scandalized conservative guardians confine them while forced marriages are arranged.",five orphan girl seen innocently playing boy beach scandalized conservative guardian confine forced marriage arranged,positive,2
Guardians of the Galaxy Vol. 2,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",guardian struggle keep together team dealing personal family issue notably starlords encounter father ambitious celestial ego,positive,0
Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",coerced working crime bos young getaway driver find taking part heist doomed fail,negative,2
Only the Brave,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",based true story granite mountain hotshot group elite firefighter risk everything protect town historic wildfire,positive,2
Bridge of Spies,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",cold war american lawyer recruited defend arrested soviet spy court help cia facilitate exchange spy soviet captured american u spy plane pilot francis gary power,negative,0
Incredibles 2,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,incredibles family take new mission involves change family role bob parr mr incredible must manage house wife helen elastigirl go save world,positive,2
Moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",ancient polynesia terrible curse incurred demigod maui reach moanas island answer ocean call seek demigod set thing right,negative,2
Sicario,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,idealistic fbi agent enlisted government task force aid escalating war drug border area u mexico,neutral,1
Creed,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",former world heavyweight champion rocky balboa serf trainer mentor adonis johnson son late friend former rival apollo creed,negative,0
Leviafan,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",russian coastal town kolya forced fight corrupt mayor told house demolished recruit lawyer friend help man arrival brings misfortune kolya family,negative,0
Hell or High Water,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,divorced father excon older brother resort desperate scheme order save family ranch west texas,negative,0
Philomena,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",worldweary political journalist pick story woman search son taken away decade ago became pregnant forced live convent,positive,2
Dawn of the Planet of the Apes,A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.,growing nation genetically evolved ape led caesar threatened band human survivor devastating virus unleashed decade earlier,negative,0
El cuerpo,A detective searches for the body of a femme fatale which has gone missing from a morgue.,detective search body femme fatale gone missing morgue,negative,0
Serbuan maut,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,swat team becomes trapped tenement run ruthless mobster army killer thug,negative,0
End of Watch,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",shot documentarystyle film follows daily grind two young police officer la partner friend happens meet criminal force greater,positive,2
